,model_name,prompt_type,elapsed_time,response_length,has_error,tokens_per_second,response_quality_score,quality_index
0,gemini,cot,3.9032609462738037,1122.0,0.0,287.4519575923056,1.0,0.7375339879154079
1,gemini,hybrid_cot,4.7245032787323,1878.0,0.0,397.5021053438476,1.0,0.7644566954298497
2,gemini,standard,4.045565366744995,951.0,0.0,235.07221211090237,0.951,0.7085075757575757
3,llama,cot,259.0754268169403,3040.0,0.0,11.734034514002861,1.0,0.4498148842648051
4,llama,hybrid_cot,259.1860296726227,3298.0,0.0,12.72445125289236,1.0,0.5831840527810176
5,llama,standard,1064.1201236248016,3007.0,0.0,2.825808790982172,1.0,0.44493846648891505
6,qwen,cot,262.23128271102905,2746.0,0.0,10.471672073640462,1.0,0.5585748893616935
7,qwen,hybrid_cot,261.0226454734802,2857.0,0.0,10.945410482747826,1.0,0.5383538589406826
8,qwen,standard,1025.1111373901367,2590.0,0.0,2.5265553221809336,1.0,0.5143066040942206
