,model_name,prompt_type,elapsed_time,response_length,has_error,tokens_per_second,response_quality_score,quality_index
0,gemini,cot,3.159996950626373,1057.8,0.15,324.14414081024677,0.7739,0.6629445821119327
1,gemini,hybrid_cot,5.67108838558197,2109.65,0.0,371.26897604729936,1.0,0.8273033569490084
2,gemini,standard,4.209543824195862,1276.75,0.0,301.739642285086,0.9197,0.7356181807333546
3,llama,cot,121.57676553726196,1470.35,0.0,12.07757238022159,0.8002,0.49922818132196844
4,llama,hybrid_cot,172.7057636141777,2055.7,0.0,11.892710339044672,0.91225,0.5241674585170188
5,llama,standard,204.55037273168563,2009.05,0.0,9.911104951552922,0.8710000000000001,0.4973189004540092
6,qwen,cot,211.43518072366714,2194.9,0.0,10.39788762905425,0.9938,0.5672714235784256
7,qwen,hybrid_cot,237.48645906448365,2556.45,0.0,10.764995200709317,1.0,0.575929982795889
8,qwen,standard,243.94292664527893,2027.4,0.0,8.642312582214146,0.99495,0.5609419908049866
