,model_name,prompt_type,elapsed_time,response_length,has_error,tokens_per_second,response_quality_score,quality_index
0,llama,hybrid,24.450622081756592,627.0,0.0,25.643519330652335,0.627,0.4918028542706868
1,llama,unknown,28.863526582717896,658.0,0.0,22.573911431038667,0.658,0.45215281835032395
2,llama,zero_shot,113.39551615715027,2555.0,0.0,22.53175510448869,1.0,0.43020397926448967
3,qwen,hybrid,103.28182530403137,2469.0,0.0,23.905464419630356,1.0,0.5770814359851373
4,qwen,unknown,441.52965223789215,2677.5,0.0,14.296953078062069,1.0,0.5784138494906925
5,qwen,zero_shot,101.81147170066833,4184.0,0.0,41.09556546143645,1.0,0.7172943949370135
